2025-10-09 07:53:57,760 - WARNING - Failed to fetch port stats for switch 46, using defaults
2025-10-09 07:53:57,836 - WARNING - Failed to fetch port stats for switch 4, using defaults
2025-10-09 07:53:57,860 - WARNING - Failed to fetch port stats for switch 28, using defaults
2025-10-09 07:53:57,877 - WARNING - Failed to fetch port stats for switch 38, using defaults
2025-10-09 07:53:57,896 - WARNING - Failed to fetch port stats for switch 45, using defaults
2025-10-09 07:53:57,941 - WARNING - Failed to fetch port stats for switch 27, using defaults
2025-10-09 07:53:57,964 - WARNING - Failed to fetch port stats for switch 19, using defaults
2025-10-09 07:53:57,994 - WARNING - Failed to fetch port stats for switch 5, using defaults
2025-10-09 07:53:58,015 - WARNING - Failed to fetch port stats for switch 47, using defaults
2025-10-09 07:53:58,085 - WARNING - Failed to fetch port stats for switch 24, using defaults
2025-10-09 07:53:58,100 - WARNING - Failed to fetch port stats for switch 25, using defaults
2025-10-09 07:53:58,174 - WARNING - Failed to fetch port stats for switch 43, using defaults
2025-10-09 07:53:58,202 - WARNING - Failed to fetch port stats for switch 40, using defaults
2025-10-09 07:53:58,235 - WARNING - Failed to fetch port stats for switch 15, using defaults
2025-10-09 07:53:58,251 - WARNING - Failed to fetch port stats for switch 34, using defaults
2025-10-09 07:53:58,323 - WARNING - Failed to fetch port stats for switch 6, using defaults
2025-10-09 07:53:58,337 - WARNING - Failed to fetch port stats for switch 44, using defaults
2025-10-09 07:53:58,352 - WARNING - Failed to fetch port stats for switch 30, using defaults
2025-10-09 07:53:58,381 - WARNING - Failed to fetch port stats for switch 8, using defaults
2025-10-09 07:53:58,407 - WARNING - Failed to fetch port stats for switch 21, using defaults
2025-10-09 07:53:58,448 - WARNING - Failed to fetch port stats for switch 13, using defaults
2025-10-09 07:53:58,472 - WARNING - Failed to fetch port stats for switch 32, using defaults
2025-10-09 07:53:58,485 - WARNING - Failed to fetch port stats for switch 29, using defaults
2025-10-09 07:53:58,523 - WARNING - Failed to fetch port stats for switch 33, using defaults
2025-10-09 07:53:58,562 - WARNING - Failed to fetch port stats for switch 14, using defaults
2025-10-09 07:53:58,594 - WARNING - Failed to fetch port stats for switch 7, using defaults
2025-10-09 07:53:58,606 - WARNING - Failed to fetch port stats for switch 244866307128911, using defaults
2025-10-09 07:53:58,621 - WARNING - Failed to fetch port stats for switch 35, using defaults
2025-10-09 07:53:58,654 - WARNING - Failed to fetch port stats for switch 22, using defaults
2025-10-09 07:53:58,670 - WARNING - Failed to fetch port stats for switch 42, using defaults
2025-10-09 07:53:58,688 - WARNING - Failed to fetch port stats for switch 9, using defaults
2025-10-09 07:53:58,698 - WARNING - Failed to fetch port stats for switch 3, using defaults
2025-10-09 07:53:58,714 - WARNING - Failed to fetch port stats for switch 10, using defaults
2025-10-09 07:53:58,730 - WARNING - Failed to fetch port stats for switch 16, using defaults
2025-10-09 07:53:59,015 - INFO - Graph updated: 96 nodes, 112 edges
2025-10-09 07:53:59,015 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000001a'
2025-10-09 08:00:35,573 - INFO - Fetched switches: 48 switches
2025-10-09 08:00:35,575 - INFO - Fetched links: 112 links
2025-10-09 08:00:35,576 - INFO - Fetched hosts: 48 hosts
